raceId,max,UQ,median,mean,LQ,min
133,113866.0,98011,91789,94557.16052060737,87441,71586.0
134,80855.5,78316,77559,78463.07358490567,76623,74083.5
135,83781.0,80586,79484,80844.47774480713,78456,75261.0
136,83814.5,80933,79930,80742.0674074074,79012,76130.5
137,114984.5,112346,111481,112631.64256480218,110587,107948.5
138,90627.5,87884,86897,88326.60542540075,86055,83311.5
139,78824.5,76324,75420,76293.01977186312,74657,72156.5
140,103722.0,100341,99150,100953.98646820027,98087,94706.0
141,111910.0,99580,93178,104914.22891566265,91360,79030.0
142,143332.0,121015,111616,120450.20547945205,106137,83820.0
143,108292.5,90420,79747,85571.18498659518,78505,60632.5
144,93879.5,90311,89128,90223.0315270936,87932,84363.5
145,90321.5,86180,84400,85841.19655172413,83419,79277.5
146,79752.0,75498,73783,76860.57628765792,72662,68408.0
147,89500.5,85149,83352,85217.3831858407,82248,77896.5
148,84964.5,82011,80741,84126.5329153605,80042,77088.5
149,84315.0,81927,81232,81971.89641434263,80335,77947.0
150,82447.5,79749,78822,79643.7156862745,77950,75251.5
151,91970.0,88334,87070,88000.1361788618,85910,82274.0
152,108883.0,106078,105132,106369.78658536586,104208,101403.0
153,86075.0,82049,80540,82345.48468606432,79365,75339.0
154,121582.5,116427,114207,116570.86470588236,112990,107834.5
155,92670.0,89397,88338,89274.42396313364,87215,83942.0
156,80479.0,77761,76717,77606.37688821752,75949,73231.0
157,106707.0,102000,100055,101900.90119760479,98862,94155.0
158,100728.0,96762,95047,99751.7056778679,94118,90152.0
159,82134.5,79070,78030,78847.16016427104,77027,73962.5
160,93073.5,90690,89907,90917.89700374533,89101,86717.5
161,92469.5,90185,89317,90448.9255774166,88662,86377.5
162,89958.5,87890,87277,88307.3462555066,86511,84442.5
163,100651.0,94789,93206,93619.7531340405,90881,85019.0
164,88935.0,85908,84784,85511.05443371378,83890,80863.0
165,118811.0,96491,82691,88222.34752321981,81611,59291.0
166,85943.0,83438,82603,83375.03777949113,81768,79263.0
167,78317.5,75658,74576,76906.97966728281,73885,71225.5
168,133383.0,117846,108257,114235.45790816327,107488,91951.0
169,88283.0,84680,83344,84592.69966101694,82278,78675.0
170,133590.0,123216,117963,123424.7850241546,116300,105926.0
171,133646.0,106028,88710,103042.18385650225,87616,59998.0
172,94478.5,83770,77737,81014.95176848874,76631,65922.5
173,109962.0,105024,103216,104520.1630218688,101732,96794.0
174,107700.5,103817,102316,104917.29508196721,101228,97344.5
175,105838.5,99324,96461,102112.6608108108,94981,88466.5
176,85781.0,82388,81342,82739.11575875487,80126,76733.0
177,96245.5,93070,91897,93189.25802997859,90953,87777.5
178,90724.0,86782,85121,86060.88057040998,84154,80212.0
179,91601.0,88856,87884,88875.99281867145,87026,84281.0
180,91064.0,85880,83752,89516.00835945664,82424,77240.0
181,121541.5,98320,93905,98496.07235621521,82839,59617.5
182,95812.0,92602,91477,94030.67260787993,90462,87252.0
183,78639.0,75996,74951,76098.6197511664,74234,71591.0
184,113978.0,110747,109445,110625.74027993779,108593,105362.0
185,87534.0,84600,83624,84415.07270233196,82644,79710.0
186,122664.5,119165,117749,119180.42991755006,116832,113332.5
187,90944.5,88399,87256,88680.92108508015,86702,84156.5
188,122356.0,99661,86946,94577.64910536779,84531,61836.0
189,109387.0,105403,103598,105806.88676844783,102747,98763.0
190,109142.5,106177,105010,106191.98056155507,104200,101234.5
191,101223.5,97763,96470,97903.0701262272,95456,91995.5
192,86723.0,83333,82044,82933.06794425087,81073,77683.0
193,98165.5,93490,91562,92765.50349107836,90373,85697.5
194,99069.0,94491,92588,93979.56762749446,91439,86861.0
195,91676.0,88694,87645,88617.77480586713,86706,83724.0
196,91872.5,87983,86739,87478.9940526763,85390,81500.5
197,90571.5,85857,83935,91242.9222972973,82714,77999.5
198,86156.0,82520,81154,82264.04522246536,80096,76460.0
199,119391.0,108066,104038,108235.0385818561,100516,89191.0
200,79933.5,76908,75970,78521.02708124374,74891,71865.5
201,113219.0,109685,108148,109460.43214285714,107329,103795.0
202,88845.5,84707,83325,84199.28270676691,81948,77809.5
203,157091.0,142271,134911,145076.64239828693,132391,117571.0
204,93770.5,89947,88548,90119.74200913242,87398,83574.5
205,88088.5,84775,83727,85122.82254196642,82566,79252.5
206,109916.0,105827,103921,105138.19801980197,103101,99012.0
207,100518.5,96083,94649,96326.91902313624,93126,88690.5
208,83396.5,81124,80453,81519.0484937546,79609,77336.5
209,96860.5,92794,91201,95692.04253308129,90083,86016.5
210,94949.5,90718,89131,90288.22408026755,87897,83665.5
211,125239.5,119913,117811,119601.46692607003,116362,111035.5
212,89496.5,86309,85250,86331.24285714286,84184,80996.5
213,88429.5,84618,83270,87191.92462311558,82077,78265.5
214,87140.5,82966,81206,83838.60741364786,80183,76008.5
215,93529.0,89848,88236,91178.6669921875,87394,83713.0
216,114288.5,110249,108369,109984.96030534351,107556,103516.5
217,86037.5,83303,82220,83373.5034695451,81480,78745.5
218,164227.0,136174,123044,132219.6422250316,117472,89419.0
219,90735.5,88274,87397,88592.76371308017,86633,84171.5
220,77317.5,74937,74126,74986.25333333333,73350,70969.5
221,84780.0,82536,81809,82777.53448275862,81040,78796.0
222,108502.5,103950,102016,103353.60220994476,100915,96362.5
223,89566.0,87130,86329,87072.1464684015,85506,83070.0
224,103830.0,99078,97086,99021.05049261084,95910,91158.0
225,121635.0,100458,98037,96868.48638838476,86340,65163.0
226,100869.0,95490,93117,98446.64605734767,91904,86525.0
227,87963.0,85053,83786,85186.72850678733,83113,80203.0
228,96846.5,93053,91390,93190.64750957854,90524,86730.5
229,142903.0,109906,95801,99796.0895140665,87908,54911.0
230,117506.0,113219,111664,113189.83724832215,110361,106074.0
231,88766.5,85699,84610,85562.10978260869,83654,80586.5
232,86344.0,82768,81505,82347.86292548299,80384,76808.0
233,97243.5,93723,92560,93658.72517321016,91376,87855.5
234,116194.5,111744,110019,111430.56268221575,108777,104326.5
235,89905.0,85591,83764,84920.7914979757,82715,78401.0
236,126183.0,119709,117024,122689.93333333333,115393,108919.0
237,93320.0,90161,89028,90259.41626794258,88055,84896.0
238,92493.0,88617,86942,88531.92990654205,86033,82157.0
239,114064.5,109467,107509,108713.01593137255,106402,101804.5
