raceId,max,UQ,median,LQ,min
171,337100,106028,88710,87616,85595
172,135023,83770,77737,76631,74711
173,184098,105024,103211,101732,99189
174,166981,103817,102311,101228,98543
175,169179,99324,96461,94981,92112
176,328467,82388,81342,80126,78448
177,279926,93070,91897,90953,88547
178,125301,86782,85119,84154,82259
179,193764,88856,87877,87026,84982
180,282892,85880,83752,82424,80382
181,253789,98320,93901,82839,79227
182,159399,92602,91475,90462,88309
183,377189,75996,74946,74234,72107
184,152486,110747,109443,108593,105270
185,118218,84600,83624,82644,80699
186,232416,119165,117749,116832,113955
187,258071,88399,87254,86702,85579
188,159456,99661,86901,84531,81282
189,504090,105403,103596,102747,100267
190,136355,106177,105004,104200,101319
191,213827,97763,96470,95456,91649
192,114315,83333,82044,81073,79337
